date and time,file size (in kilobytes),build duration (in seconds)
9/3/2016 2:13pm,4.28,0.378
9/3/2016 2:13pm,4.25,0.207
9/3/2016 2:14pm,4.28,2.591
9/3/2016 2:15pm,4.3,1.714
9/3/2016 2:15pm,4.28,1.863
9/3/2016 2:16pm,4.28,2.570
9/3/2016 2:16pm,4.29,2.005
9/3/2016 2:16pm,4.28,2.441
9/3/2016 2:17pm,4.23,0.283
9/3/2016 2:17pm,4.22,0.245
9/3/2016 2:18pm,4.2,0.178
9/3/2016 2:23pm,4.34,0.109
9/3/2016 2:25pm,4.45,0.123
9/3/2016 2:25pm,4.49,0.151
9/3/2016 2:26pm,4.52,0.225
9/3/2016 2:26pm,4.52,0.222
9/3/2016 2:26pm,4.52,0.161
9/3/2016 2:26pm,4.57,0.150
9/3/2016 2:26pm,4.54,0.633
9/3/2016 2:27pm,4.49,0.258
9/3/2016 2:27pm,4.5,0.222
9/3/2016 2:27pm,4.52,0.237
9/3/2016 2:27pm,4.54,0.148
9/3/2016 2:27pm,4.54,0.294
9/3/2016 2:28pm,4.5,0.281
9/3/2016 2:30pm,4.63,0.130
9/3/2016 2:30pm,4.69,0.268
9/3/2016 2:31pm,4.69,0.186
9/3/2016 2:31pm,4.69,0.185
9/3/2016 2:32pm,4.71,0.153
9/3/2016 2:32pm,4.73,0.166
9/3/2016 2:32pm,4.75,0.149
9/3/2016 2:33pm,4.75,0.223
9/3/2016 2:33pm,4.76,0.148
9/3/2016 2:35pm,4.81,0.136
9/3/2016 2:35pm,4.8,0.182
9/3/2016 2:35pm,4.8,0.156
9/3/2016 2:36pm,4.8,0.166
9/3/2016 2:36pm,4.83,0.148
9/3/2016 2:36pm,4.73,0.306
9/3/2016 2:36pm,4.74,0.429
9/3/2016 2:37pm,4.71,0.260
9/3/2016 2:38pm,4.71,0.264
9/3/2016 2:39pm,4.81,0.339
9/3/2016 2:39pm,4.77,0.277
9/3/2016 2:40pm,4.82,0.188
9/3/2016 2:41pm,4.82,0.144
9/3/2016 2:41pm,4.82,0.155
9/12/2016 8:36pm,4.82,1.097
9/12/2016 8:49pm,4.87,0.495
9/12/2016 8:49pm,4.9,0.567
9/12/2016 8:49pm,4.87,0.442
9/12/2016 8:49pm,4.87,0.384
9/12/2016 8:50pm,4.87,0.493
9/12/2016 8:50pm,4.87,0.273
9/12/2016 8:50pm,4.87,0.302
9/12/2016 8:50pm,4.68,0.283
9/12/2016 8:51pm,4.73,0.419
9/12/2016 8:51pm,4.68,0.354
9/12/2016 8:52pm,4.68,0.467
9/12/2016 8:52pm,4.68,0.364
9/12/2016 8:53pm,4.7,0.471
9/12/2016 8:54pm,4.7,0.280
9/12/2016 8:54pm,4.7,0.203
9/12/2016 8:54pm,4.5,0.254
9/12/2016 8:54pm,4.52,0.338
9/12/2016 8:55pm,4.54,0.351
9/12/2016 8:55pm,4.54,0.305
9/12/2016 8:56pm,4.54,0.521
9/12/2016 8:57pm,4.56,0.502
9/12/2016 8:57pm,4.56,0.291
9/12/2016 8:57pm,4.56,0.356
9/12/2016 8:57pm,4.56,0.303
9/12/2016 8:57pm,4.56,0.294
9/12/2016 8:58pm,4.64,0.603
9/12/2016 8:58pm,4.63,0.316
9/12/2016 8:58pm,4.66,0.392
9/12/2016 8:59pm,4.85,0.387
9/12/2016 9:00pm,4.95,0.428
9/12/2016 9:00pm,5.01,0.490
9/12/2016 9:00pm,5.04,0.242
9/12/2016 9:00pm,5.06,0.356
9/12/2016 9:01pm,5.12,0.467
9/12/2016 9:01pm,5.14,0.365
9/12/2016 9:01pm,5.14,0.320
9/12/2016 9:01pm,5.14,0.397
9/12/2016 9:01pm,5.16,0.476
9/12/2016 9:01pm,5.18,0.397
9/12/2016 9:02pm,5.18,0.324
9/12/2016 9:02pm,5.18,0.294
9/12/2016 9:02pm,5.21,0.348
9/12/2016 9:02pm,5.2,0.356
9/12/2016 9:02pm,5.2,0.402
